set,class,nand,tok_per_s,tpot_ms,bytes_leaving_nand_per_token_GB,bytes_entering_nand_per_token_GB,internal_sense_GB_per_token,passes_per_page,accumulator,planes,notes
E_MAC(1lane),"REQUIRES NEW SILICON (small: 4 MAC lanes/plane, Palm-class x4)",slc-2TB-2048pl,4.928,202.9,2.14,34.239,137.0,1 lanes @400MHz,FP32 (Palm-style) or int18+FP32 block chain,2048,compute/page 3.9us vs tR 3us
E_MAC(4lane),"REQUIRES NEW SILICON (small: 4 MAC lanes/plane, Palm-class x4)",slc-2TB-2048pl,5.757,173.7,2.14,34.239,137.0,4 lanes @400MHz,FP32 (Palm-style) or int18+FP32 block chain,2048,compute/page 1.0us vs tR 3us
A0_EXPORT,KNOWN STOCK,tlc-2TB-64pl,0.136,7340.4,136.957,0.002,137.0,0,none (external),64,all weights exported; needs ~28 GFLOPS in controller
A1_BOOL,LITERATURE-DEMONSTRATED ON COTS (MCFlash arXiv:2605.05119; Flash-Cosmos MICRO'22) — inapplicable to GEMV (see report),tlc-2TB-64pl,0.136,7340.4,136.957,0.002,137.0,0,none (external),64,boolean ops need both operands pre-stored + give no cross-bitline sum -> zero GEMV benefit; all weights exported; needs ~28 GFLOPS in controller
A2_CMP_CNT(t=1.0us),VENDOR/UNDOCUMENTED POSSIBILITY (program-verify fail-bit counters exist in silicon; on-demand exposed count is the BABOL question),tlc-2TB-64pl,0.001,1630639.1,312.553,104.184,137.0,117964 counts (t_count=1.0us),external (counts),64,MX 32-block scales force 3686 masked counts per bitplane pair; BABOL must find sub-1.0us count op for this to move
A2_CMP_CNT(t=10.0us),VENDOR/UNDOCUMENTED POSSIBILITY (program-verify fail-bit counters exist in silicon; on-demand exposed count is the BABOL question),tlc-2TB-64pl,0.0,16281551.6,312.553,104.184,137.0,117964 counts (t_count=10.0us),external (counts),64,MX 32-block scales force 3686 masked counts per bitplane pair; BABOL must find sub-10.0us count op for this to move
A2_CMP_CNT(t=100.0us),VENDOR/UNDOCUMENTED POSSIBILITY (program-verify fail-bit counters exist in silicon; on-demand exposed count is the BABOL question),tlc-2TB-64pl,0.0,162790676.7,312.553,104.184,137.0,117964 counts (t_count=100.0us),external (counts),64,MX 32-block scales force 3686 masked counts per bitplane pair; BABOL must find sub-100.0us count op for this to move
B_SHIFT,REQUIRES NEW SILICON (no lateral bitline datapath in stock page buffers),tlc-2TB-64pl,0.136,7340.4,136.957,0.002,137.0,0,none (external),64,shift without add cannot reduce; all weights exported; needs ~28 GFLOPS in controller
C_ADD(pass=50ns),REQUIRES NEW SILICON (tiny: SIMD latch adder),tlc-2TB-64pl,0.136,7340.4,0.297,34.239,137.0,35.7,per-32-block int18 + FP32 chain (export/page),64,pass=50.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (1.8us vs 50us)
D_ACC(pass=50ns),REQUIRES NEW SILICON (tiny: adder + retained accumulators),tlc-2TB-64pl,0.136,7340.4,0.037,34.239,137.0,35.7,per-32-block int18 + FP32 chain (retained),64,pass=50.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (1.8us vs 50us)
C_ADD(pass=200ns),REQUIRES NEW SILICON (tiny: SIMD latch adder),tlc-2TB-64pl,0.136,7340.4,0.297,34.239,137.0,35.7,per-32-block int18 + FP32 chain (export/page),64,pass=200.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (7.1us vs 50us)
D_ACC(pass=200ns),REQUIRES NEW SILICON (tiny: adder + retained accumulators),tlc-2TB-64pl,0.136,7340.4,0.037,34.239,137.0,35.7,per-32-block int18 + FP32 chain (retained),64,pass=200.0ns SIMD latch op; sense-bound iff passes*t_pass <= tR (7.1us vs 50us)
E_MAC(1lane),"REQUIRES NEW SILICON (small: 4 MAC lanes/plane, Palm-class x4)",tlc-2TB-64pl,0.136,7340.4,0.297,34.239,137.0,1 lanes @400MHz,FP32 (Palm-style) or int18+FP32 block chain,64,compute/page 28.0us vs tR 50us
E_MAC(4lane),"REQUIRES NEW SILICON (small: 4 MAC lanes/plane, Palm-class x4)",tlc-2TB-64pl,0.136,7340.4,0.297,34.239,137.0,4 lanes @400MHz,FP32 (Palm-style) or int18+FP32 block chain,64,compute/page 7.0us vs tR 50us
